id;myzone;neighborhood;going;place;route;routine_id;hub;slots;description;created_at;updated_at;week_days;repeats_until;done;deleted_at;date
;Zona Norte;Tijuca;;Saio do bandejão central;São Cristóvão, Maracanã, Barão De Mesquita, Uruguai;;CCS: Frente;;Passo pelos outros prédios do fundão. Não fumo, ar condicionado gelando, aceito um help de 3,00 reais 😊;2016-04-18 19:24:19;2017-04-19 11:59:25;2;;;2016-04-26 14:30:54;2016-04-26 17:00:00
;Zona Norte;Riachuelo;;Marechal Rondon;CCS, LV, São Cristóvão, Radial Oeste, Maracanã, UERJ, São Francisco Xavier e 24 de maio;;CT: Bloco A;;"Não fumo.
Contribuição de 3-4 reais 🙂";2016-05-09 10:06:48;2017-04-19 11:59:25;;;;;2016-05-09 18:00:00
;Zona Sul;Botafogo;;Mena Barreto;Rebouças, Santa Bárbara ou Marcello Alencar;;CT;;"Costumo sair 7:10 de Botafogo com destino ao HUCFF, mas passo pelo CT, FAU e Letras antes de chegar lá. A contribuição de R$4 com a gasolina é mais que bem-vinda! :D

Às vezes o Caonae fica instável, assim tem o wpp: (21)982361429
";2017-04-03 06:42:10;2017-04-19 11:59:25;1,2,3,4,5;;;;2017-04-12 07:48:00
;Zona Oeste;Jardim Sulacap;;;Sulacap, Valqueire, Cascadura, Piedade, Pilares, CCMN, CT, EEFD.;;EEFD;;"Nao Fumo
Espaço na mala
Ar condicionado 

Peço contribuiçao de 5 reais para o combustivel ⛽";2019-08-23 12:12:58;2019-08-23 12:12:58;2,4;2019-12-27;;;2019-10-24 07:20:00
;Zona Norte;Tijuca;;Largo da 2af;Haddock Lobo - Campo Sales - America - LV;;CT;;Caminho flexível, aceito contribuições voluntárias :);2016-05-15 18:13:48;2017-04-19 11:59:25;;;;;2016-05-16 08:15:00
;Zona Norte;Méier;;ponto de onibus da rua carolina santos em frente ao numero 119;rua adriano, rua piaui, av. don helder camara, linha amarela;;CT;;"saio do ponto combinado as 8:30. aceito ajuda para gasolina, sem valor fixo.
as vezes o aplicativo nao manda notificacao, confirmar no whatsapp 995297880";2016-05-22 22:36:29;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-06-20 08:30:00
;Zona Norte;Vista Alegre;;Barril 8.000 / Toca do Boi;Geralmente pela Lobo Junior, Av. Brás de Pina, Largo do Bicão etc.;;CCS: HUCFF;;"Saio geralmente por volta das 17h, mas dá para esperar um pouco.
Qualquer coisa só chamar no whatsapp.
Se possível, aceito uma contribuição de R$4. :) 
#foratemer";2016-09-05 15:00:04;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-11-04 17:00:00
;Zona Norte;Vila Isabel;;Igreja Nossa Senhora de Lourdes;Linha Vermelha, São Cristóvão, Radial Oeste, Avenida 28 De Setembro;;CT: Bloco D;;"Saio do fundão por volta das 17h.
Ar condicionado e playlist democrática.
Contribuição de R$3,00. ";2016-09-06 07:35:46;2017-04-19 11:59:25;2,4;;;;2016-12-01 17:00:00
;Zona Norte;Tijuca;;perto do largo da segunda feira;Doutor Satamini, Afonso Pena;;CCMN: Frente;;conto com 4 reais para ajuda de gasolina;2017-05-11 14:08:54;2017-05-11 14:08:54;2,4;;;;2017-06-08 19:00:00
;Zona Norte;Vila Isabel;;UERJ;Benfica, Av Brasil, linha amarela ;;CCS;;"saindo as 06:45 de vila Isabel 
ajuda para a gasolina é bem vinda";2016-05-31 17:06:45;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-07-14 07:30:00
;Zona Sul;Botafogo;;Rua Eduardo Guinle;Fundão, Linha Vermelha, Leopoldina, Prefeitura, Santa Bárbara, Pinheiro Machado, Botafogo;;CT: Bloco D;;;2016-04-14 09:28:50;2017-04-19 11:59:25;1,2,3,4,5;;;2016-04-14 09:32:02;2016-05-17 17:00:00
;Zona Norte;Portuguesa;;Aerobitas;Canárias ou Estrada do Galeão;;CT;;"Posso fazer pequenas alterações no percurso; contribuição para o combustível";2018-03-20 18:04:27;2018-03-20 18:04:27;1,2,3,4,5;;;;2018-05-04 08:30:00
;Zona Norte;Andaraí;;SESC tijuca;Depende do pessoal, Bem flexível ;;CT;;;2016-04-11 21:18:45;2017-04-19 11:59:25;3,5;;;;2016-06-08 08:00:00
;Zona Oeste;Barra da Tijuca;;Downtown Shopping;Linha Amarela;;CT;;;2016-07-04 17:29:20;2017-04-19 11:59:25;2;;;2016-07-04 17:30:08;2016-08-02 08:00:00
;Zona Norte;Portuguesa;;hipermercado extra;Colégio newton braga, Galeão;;CCS;;Quem puder ajudar com 2 reais será bem vindo !;2016-06-14 17:10:15;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-06-20 07:00:00
;Zona Norte;Vila Isabel;;Ao lado do posto ipiranga;Teodoro da Silva, Rua Gonzaga Bastos, Olimpio de Melo, Av. Brasil;;CT;;"Não fumo
Ligo o ar
Saída 9:20";2016-12-04 17:54:49;2017-04-19 11:59:25;1,4;;;2016-12-04 17:55:31;2016-12-29 10:00:00
;Zona Sul;Laranjeiras;;Ribeiro de Almeida;Santa Barbara ;;CT: Bloco A;;;2016-12-12 00:12:31;2017-04-19 11:59:25;;;;2016-12-14 18:29:55;2016-12-12 17:00:00
;Zona Sul;Jardim Botânico;;Próximo ao cap ufrj;Av. Borges De Medeiros, Rebouças, L Vermelha;;CT: Bloco A;;É free;2017-01-30 23:30:28;2017-04-19 11:59:25;1,2,3,4,5;;;;2017-03-06 13:00:00
;Zona Norte;Tijuca;;Usina ;;;CT: Bloco D;;Cobro 3 reais pela carona ;2016-04-14 16:10:22;2017-04-19 11:59:25;;;;2016-04-15 10:09:22;2016-04-15 10:00:00
;Zona Sul;Copacabana;;;Av. Rainha Elisabeth, R. Vinícius De Moraes, Av. Epitacio Pessoa, Tn Rebouças, Linha Vermelha;;CT;;;2016-04-13 20:58:58;2017-04-19 11:59:25;2,3,4;;;2016-04-15 08:53:08;2016-04-26 10:00:00
;Zona Norte;Méier;;Pedro de Carvalho esquina com Dias da Cruz;Pedro de Carvalho, Lins, Carolina Santos, Magalhães Couto, Adriano, Dois de Fevereiro;;CCS;;Aceito contribuição. Não mudo meu trajeto.;2016-06-03 23:22:50;2017-04-19 11:59:25;;;;;2016-06-06 08:00:00
;Zona Sul;Catete;;Rua Bento Lisboa entre Silveira Martins e Correa Dutra.;Largo do Machado, Rua das Laranjeiras, Tunel Santa Barbara, Av. Presidente Vargas, Av. Francisco Bicalho  (Leopoldina), Linha Vermelha, CT.;;CT;;Por favor, informe o ponto do trajeto em que você estará.;2016-05-15 15:23:30;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-06-02 08:00:00
;Zona Norte;Rocha;;Clube do Sargento;Visconde de Niterói>São Cristóvão>Linha Vermelha;;Reitoria;;Aceito qualquer contribuição que seu coração mandar, pra ajudar na gasolina :);2017-05-05 00:16:42;2017-05-05 00:16:42;1,2;;;;2017-06-19 07:30:00
;Zona Norte;Penha;;Guanabara;Penha, Olaria, Ramos;;CT;;aquela ajuda de 4 temeres;2017-08-15 16:44:29;2017-08-15 16:44:29;1,2,3,4,5;;;;2017-12-15 08:00:00
;Zona Sul;Botafogo;;Até o largo dos leões. ;Sta Bárbara ;;CT: Bloco D;;;2016-10-03 06:39:26;2017-04-19 11:59:25;;;;;2016-10-03 17:00:00
;Zona Norte;Del Castilho;;Shopping Nova América;Linha amarela, saída 7, Fundão;;CT: Bloco A;;;2019-05-17 11:32:34;2019-05-17 11:32:34;1,3,5;2019-07-20;;;2019-07-17 17:00:00
;Zona Oeste;Campo Grande;;Viaduto Oscar Brito;Avenida Brasil;;CCS: Frente;;;2018-08-30 20:59:16;2018-08-30 20:59:16;4;2018-10-30;;;2018-08-30 22:00:00
;Zona Norte;Riachuelo;;Em frente à clínica veterinária caniche;São cristovao (São Luiz Gonzaga até a linha vermelha) e marechal rondom;;CT;;Não fumo. Na terça, Quinta e sexta vou direto para o parque tecnológico mas paro no CT para deixar o pessoal.;2016-04-11 10:38:33;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-04-15 08:00:00
;Zona Sul;Catete;;CT em frente ao Bloco G;Ponte do Saber, Linha Vermelha, Catete.;;CT: Bloco H;;;2016-05-15 15:25:39;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-06-22 17:30:00
;Baixada;Duque de Caxias;;Caxias shopping;Linha vermelha;;CT: Bloco A;;...;2019-05-03 13:47:07;2019-05-03 13:47:07;1,2,3,4,5;2019-09-03;;;2019-05-08 21:45:00
;Zona Oeste;Barra da Tijuca;;Downtown;;;CT: Bloco D;;Escuto música e não fumo.;2016-04-14 01:20:39;2017-04-19 11:59:25;1,2,4,5;;;2016-04-20 06:16:11;2016-05-13 13:00:00
;Zona Sul;Catete;;Até perto do Museu da República;Reitoria-CT-Laranjeiras-Lgo do Machado-Catete;;CT: Bloco H;;Peço uma contribuição de 4 reais =D;2019-04-26 01:19:03;2019-04-26 01:19:03;3;2019-09-01;;;2019-07-03 17:00:00
;Zona Norte;Vista Alegre;;Perto do Barril 8000;Vila Da Penha, Penha, Av Brasil ;;CT: Bloco A;;;2016-06-21 21:29:08;2017-04-19 11:59:25;3;;;;2016-06-29 17:30:00
;Zona Norte;Vila Isabel;;Boulevard Shopping;Teodoro da Silva, Senador Nabuco, UERJ, Benfica, Av Brasil;;CT: Bloco D;;"Fala, galera!

A aula acaba em torno de 21:30.
Caso não responda por aqui, me manda whatsapp em (21)991362511.
Não curto que fumem no carro!
Qualquer contribuição é bem-vinda.";2018-08-12 22:11:18;2018-08-12 22:11:18;4;;;;2018-09-06 21:30:00
;Zona Sul;Leblon;;Casa de shows plataforma ;Leblon, Lagoa, Linha Vermelha, Fundão ;;CCMN;;Não fumo, peço 4 reais pra contribuir com a gasolina ;2017-03-04 13:46:10;2017-04-25 11:03:04;2,3,4,5;;;2017-04-25 11:03:04;2017-05-02 08:00:00
;Zona Norte;Penha;;rua quito/lobo júnior;avenida brasil e lobo junior ;;CCMN: Frente;;;2016-10-19 16:41:47;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-11-07 13:00:00
;Zona Sul;Copacabana;;Toneleros até Figueiredo de Magalhães;Túnel Velho, Humaitá, Rebouças;;CCMN;;Galera, ajuda de 3,00 p/ gasolina😁;2018-03-22 06:21:29;2018-05-07 08:58:11;4;;;2018-05-07 08:58:11;2018-04-12 08:50:00
;Zona Norte;Jardim Guanabara;;Cultura Inglesa;Estrada Do Galeao;;CT: Bloco D;;;2016-04-14 16:59:46;2017-04-19 11:59:25;5;;;2016-04-25 19:04:01;2016-06-10 22:00:00
;Zona Norte;Abolição;;Igreja de São Benedito;;;CT: Bloco D;;;2016-05-09 14:30:41;2017-04-19 11:59:25;;;;;2016-05-09 18:00:00
;Zona Norte;Tijuca;;largo 2af;Leopoldina, satamini,  metro s fco ;;CT: Bloco H;;Trajeto flexível,  contribuições VOLUNTÁRIAS aceitas :);2016-09-08 18:54:59;2017-04-19 11:59:25;;;;;2016-09-08 19:00:00
;Zona Sul;Botafogo;;Rua da Passagem, 39;Linha Vermelha;;CCMN: Fundos;;Pela Linha Vermelha e Rebouças;2018-08-29 12:34:14;2018-09-11 08:42:28;3;2018-10-29;;;2018-08-29 16:50:00
;Zona Sul;Copacabana;;Rua santa Clara 245;Rebouças ;;CT;; Pode trazer cachorro. Não fumo ;2016-04-26 19:37:53;2017-04-19 11:59:25;3,5;;;;2016-05-06 08:00:00
;Zona Norte;Riachuelo;;;Marechal Rondom e Sao Cristóvão;;CT;;carro Honda fit;2017-08-01 22:18:26;2017-08-01 22:18:26;1,2,3,4,5;;;;2017-09-20 08:00:00
;Grande Niterói;São Gonçalo;;Parque das Águas;Pq das Águas, Av. Maricá, Tribobó, Alameda, Linha Vermelha;;CT;;;2018-12-12 18:45:18;2018-12-12 18:45:18;1,2,3,4,5;2019-02-13;;;2019-01-18 09:50:00
;Zona Sul;Botafogo;;Cemitério São João Batista;"Linha Vermelha; Cidade nova; Túnel Santa Bárbara; Botafogo Praia Shopping; São clemente; Real grandeza.  ";;CT;;;2016-06-15 19:09:09;2017-04-19 11:59:25;1;2016-08-20;;2016-06-15 19:17:24;2016-06-20 13:00:00
;Zona Norte;Ramos;;Estação de Ramos;"Av Brasil; Túnel Marcelo Alencar";;Praia Vermelha;;3 reais para ajudar no combustível;2019-09-04 23:30:16;2019-09-04 23:30:16;1,2,3,4,5;2019-11-05;;;2019-10-31 07:30:00
;Zona Norte;Cachambi;;Norte Shopping;Linha Amarela;;CT;;;2019-03-13 08:53:08;2019-03-14 07:04:00;2,3,4,5;2019-05-14;;2019-03-14 07:04:00;2019-04-25 08:00:00
;Zona Norte;Jardim Guanabara;;Quebra coco ;Casa Show,  Saída Da Ilha ;;CCS;;;2016-04-12 00:58:03;2017-04-19 11:59:25;1,2,3,4,5;;;2016-04-12 01:04:33;2016-05-16 07:45:00
;Baixada;São João de Meriti;;;Dutra/linha Vermelha;;Reitoria;;;2016-04-13 21:29:58;2017-04-19 11:59:25;1,2,3,5;;;;2016-04-15 07:30:00
;Zona Oeste;Recreio dos Bandeirantes;;;Salvador Alende e Linha Amarela ;;Reitoria;;;2016-04-10 10:30:36;2017-04-19 11:59:25;1,2,3,4,5;;;2016-04-10 10:33:41;2016-05-13 06:30:00
;Zona Oeste;Recreio dos Bandeirantes;;Glaucio Gil ;Ayrton Senna/Praia ;;CT: Bloco D;;"
Ajuda de R$6 
Me encontrar na porta do bloco C ";2016-09-05 07:41:16;2017-04-19 11:59:25;;;;2016-09-05 15:10:35;2016-09-05 15:00:00
;Zona Sul;Laranjeiras;;Posto BR da rua Ipiranga;Santa Bárbara, Prefeitura, Linha Vermelha;;CT;;;2017-05-02 19:48:59;2017-05-03 19:58:37;;;;;2017-05-03 13:50:00
;Zona Norte;Monero;;Corredor esportivo;Estrada das Canárias;;CCS;;R$ 3,00 pra ajudar na gasolina.;2017-05-06 09:36:56;2017-05-06 09:36:56;1,2,4,5;;;;2017-06-15 07:00:00
;Zona Oeste;Barra da Tijuca;;"Península; Rosas";Linha Amarela;;CT;;;2019-03-13 11:17:34;2019-03-13 11:17:34;1,4,5;2019-07-14;;;2019-07-01 08:00:00
;Baixada;Duque de Caxias;;Centro de Duque de Caxias ;Supermercado Prezunic;;CCS;;Informações WhatsApp 98597-1825;2016-11-07 00:54:20;2017-04-19 11:59:25;1;;;;2016-12-05 10:00:00
;Zona Norte;Tijuca;;Largo da 2a f;L Vermelha, Leopoldina, Dr Satamini;;CT;;Às vezes volto por S Cristóvão se tiver muito trânsito...contribuições voluntárias são aceitas :);2016-04-09 16:14:13;2017-04-19 11:59:25;;;;2016-04-09 20:46:27;2016-04-12 08:00:00
;Zona Oeste;Jardim Sulacap;;Shopping Jardim Sulacap;Linha Amarela, Dom Hélder, Cascadura, Campinho, Jardim Sulacap;;CT;;;2017-03-14 22:10:00;2017-04-19 11:59:25;3,5;;;2017-03-14 22:10:55;2017-05-03 17:00:00
;Zona Sul;Jardim Botânico;;Próximo ao cap ufrj;Av. Borges De Medeiros, Rebouças, L Vermelha;;CT: Bloco A;;Reduza suas emissões sem custo.;2016-08-24 12:18:28;2017-04-19 11:59:25;3,4,5;;;;2016-11-02 09:00:00
;Zona Sul;Laranjeiras;;Fluminense ;Santa Bárbara, Pinheiro Machado;;CT: Bloco D;;Aceito uma contribuição de 3-4 reais;2016-11-04 11:13:43;2017-04-19 11:59:25;;;;2016-11-18 15:12:58;2016-11-04 17:00:00
;Grande Niterói;Centro (Niterói);;;Linha Vermelha, Ponte, Av Feliciano Sodre, Av visconde Do Rio Branco, Cantareira ;;CCS;;Não fumo!;2016-04-09 17:21:53;2017-04-19 11:59:25;2,3,4;;;2016-04-09 17:27:48;2016-08-10 16:00:00
;Zona Oeste;Barra da Tijuca;;Mundo Novo;Ayrton Senna Linha Amarela;;Letras;;"Passo pelo Rio Design, Novo Leblon, Cidade das Artes e Linha Amarela. 
ajuda custo sugerida: R$ 4,00 ";2016-05-16 17:18:55;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-07-19 18:00:00
;Zona Oeste;Realengo;;Linha Vermelha e Av. Brasil;;;EEFD;;;2016-06-21 10:23:13;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-06-23 16:00:00
;Zona Norte;Tijuca;;Largo da Usina, Praça Xavier de Brito, Extra Maracanã, Shopping Tijuca, Maracanã, [Quinta da Boa Vista, Feira de São Cristóvão] ou [Praça da Bandeira, Leopoldina].;Rua Rocha Miranda, Largo da Usina, Rua São Miguel, Rua Pinto Guedes, Av. Maracanã, Av. Osvaldo Aranha, [Rua Gal. Herculano Gomes, e Av. do Exército], ou, [Av. Francisco Bicalho], Linha Vermelha;;CT: Bloco H;;"Contribuições monetárias, sem valor pré-determinado, são bem vindas. 
Contato alternativo: Tel.: 98093-4277. Combine com antecedência o horário e chegue com antecedência. ";2016-07-29 21:33:00;2017-04-19 11:59:25;6;;;2016-07-29 21:33:41;2016-12-24 07:45:00
;Zona Oeste;Recreio dos Bandeirantes;;;Linha Amarela, Ayrton Sena, Américas.;;CCS;;"Contribuição de 6 reais para gasolina e pedágio.
WhatsApp 998759241
";2017-04-06 13:19:23;2017-04-19 11:59:25;1,3,4;;;2017-04-06 13:19:57;2017-04-10 16:00:00
;Zona Norte;Tijuca;;;Maracanã, São Cristovão, Ufrj;;CT: Bloco A;;3,00 pra contribuir com a gasolina;2016-05-19 10:05:51;2017-04-19 11:59:25;1,2,3,5;;;2016-06-15 21:53:19;2016-06-14 17:00:00
;Zona Sul;Copacabana;;Estação Cantagalo;Lagoa-Rebouças;;Reitoria;;;2016-04-11 15:56:51;2017-04-19 11:59:25;2,3,5;;;2016-04-11 15:59:20;2016-05-11 09:30:00
;Zona Sul;Copacabana;;Posto 5, ao lado do MIS;Corte, Lagoa, Rebouças;;Reitoria;;"Aceito contribuições pra gasolina :)
";2016-09-05 12:36:40;2017-04-19 11:59:25;;;;;2016-09-05 14:30:00
;Zona Sul;Flamengo;;;;;CCS;;;2016-07-05 09:22:24;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-08-03 10:00:00
;Zona Norte;Penha;;Guanabara;Penha, Olaria, Ramos;;CT;;aquela ajuda de 4 temeres;2017-08-15 16:44:29;2017-08-15 16:44:29;1,2,3,4,5;;;;2017-09-08 08:00:00
;Zona Norte;Portuguesa;;Shopping Ilha Plaza ;Canárias/Estrada do Galeão ;;CCS;;;2016-04-09 18:06:12;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-05-24 08:00:00
;Rio das Ostras;Terra Firme;;Câmara Municipal;;;Polo Universitário;;;2019-03-13 11:24:17;2019-03-13 11:24:17;2,4;2019-07-14;;;2019-04-16 19:30:00
;Zona Norte;Tijuca;;Afonso Pena;;;CT: Bloco D;;"Soh estar no ponto do D na hora =)
Confirmar por whatsapp tb!";2016-07-13 12:57:46;2017-04-19 11:59:25;;;;;2016-07-13 15:45:00
;Zona Norte;Cachambi;;Norte Shopping;CT, Reitoria, Letras, CCS, Linha Amarela, Del Castilho, Dom Hélder Câmara;;CT: Bloco D;;"Ar condicionado
Aceito animais
Não fumo
Posso mudar o trajeto (a combinar)
Aceito ajuda para combustível

AVISO: se L. Amarela estiver muito ruim, posso optar por pegar a L. Vermelha e voltar via São Cristovão

whatsapp p/ contato: (21)99843-8044";2016-09-09 13:32:15;2017-04-19 11:59:25;5;;;;2016-10-14 13:30:00
;Zona Norte;Vicente de Carvalho;;Carioca shopping ;Linha Amarela, Automóvel Clube, Carioca Shopping, Largo Do Bicão, Avenida Meriti, Cimento Branco;;CT: Bloco A;;;2017-03-06 22:59:48;2017-04-19 11:59:25;1,2,3,4,5;;;;2017-04-21 23:00:00
;Zona Oeste;Barra da Tijuca;;Parque Olímpico;Vilas da Barra, Rio 2, Cidade Jardim;;CT;;Não fumo. 5 reais pra ajudar no pedágio e combustível;2016-08-28 14:29:15;2017-04-19 11:59:25;1,2,3,4;2016-11-29;;;2016-08-29 08:00:00
;Zona Norte;Andaraí;;Próximo ao Tijolinho;Maxuel - Maracanã - Linha Vermelha;;CT: Bloco H;;4 reais para ajudar no combustível.;2017-07-11 23:10:03;2017-07-11 23:10:03;1,2,3,4,5;;;;2017-08-07 13:00:00
;Zona Norte;Brás de Pina;;Estação Braz de Pina;Av Brasil - Penha Cirular - Braz de Pina;;CCMN: Frente;;Saio as 22h. Deixo em qualquer lugar entre a Estação de Olaria até a Estação de Parada de Lucas, geralmente a galera da uma força no combustível;2016-06-25 19:40:09;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-07-01 22:00:00
;Zona Norte;Tijuca;;;R. Dr. Satamini- Praça Afonso Pena- Saens Pena;;CCS: Frente;;Ajuda 2,00 para combustível.;2018-08-10 14:24:54;2018-08-10 14:24:54;5;;;;2018-10-12 18:00:00
;Zona Norte;Vila Isabel;;Posto Ipiranga da Teodoro;Teodoro, Gonzaga Bastos, São Cristovão, LV;;CT;;"Não fumo
Ligo o ar
Peço contribuição de 3 reais :)
Saída por volta de 7:20";2016-04-10 23:14:24;2017-04-19 11:59:25;3,5;;;;2016-04-27 08:00:00
;Zona Oeste;Vila Valqueire;;Praça do Valqueire/Estrada da Fontinha;Linha Amarela, Av. Suburbana, Estrada Intendente Magalhães;;CT;;"Não fumo e não bebo, posso levar gente bêbada  desde que não passem mal dentro do carro.

Ajuda de custo de 5 reais por pessoa.

Podem me chamar pelo zap se precisar. 21 964299834";2017-10-10 10:24:42;2017-10-10 10:24:42;;;;;2017-10-10 12:30:00
;Zona Norte;Tijuca;;Alianca francesa;São Cristóvão, Uruguai;;CT: Bloco D;;R$4,00;2016-06-06 10:39:34;2017-04-19 11:59:25;;;;2016-06-06 10:39:42;2016-06-06 11:00:00
;Zona Norte;Del Castilho;;escola lbv;shooping nova america, metro maria da graça;;CT: Bloco H;;3 reais pra ajudar na gasosa 💵;2017-05-18 12:15:32;2017-05-18 12:15:32;2,4;;;;2017-05-25 15:00:00
;Zona Sul;Copacabana;;Em frente ao Posto 5;Lagoa, Humaita ou Aterro do Flamengo;;CT: Bloco A;;;2016-08-31 20:59:31;2017-04-19 11:59:25;;;;;2016-09-01 10:00:00
;Baixada;Duque de Caxias;;Xerem;L Vermelha e W Luiz;;CT: Bloco D;;"Ajuda d custo: R$ 5,00
Cortesia grátis p quem precisar";2017-05-06 11:43:44;2017-05-06 11:43:44;1,2,4;;;;2017-05-16 17:15:00
;Zona Sul;Leme;;;Linha Vermelha, Santa Barbara, Pinheiro Machado, Praia Botafogo, Princesa Isabel;;CT: Bloco H;;A aula acaba entre 14:30h e 15h;2016-04-14 16:52:30;2017-04-19 11:59:25;2,4;;;2016-05-03 23:25:06;2016-05-10 14:30:00
;Grande Niterói;Região Oceânica (Niterói);;Itaipu, avenida central;;;CT: Bloco D;;Não fumo, se puder ajudar com pedagio e combustível ótimo, mas não é obrigatório.;2018-07-30 11:24:47;2018-07-30 11:24:47;1,2,3,4,5;;;;2018-08-01 16:00:00
;Zona Oeste;Barra da Tijuca;;Shopping Citta America;Américas, Ayrton Senna, Linha Amarela;;CT;;;2016-04-26 20:19:45;2017-04-19 11:59:25;2,3,4,5;;;2016-04-26 23:58:56;2016-04-28 08:00:00
;Zona Norte;Del Castilho;;Metrô maria da Graça;shooping nova América;;Letras;;;2018-09-04 08:41:11;2018-09-04 08:41:11;1,2,4,5;;;;2018-10-29 18:15:00
;Baixada;São João de Meriti;;Casa do alemão / Hospital da mulher;Praça Gil /Nobs;;CCS;;;2017-03-20 23:36:28;2017-04-19 11:59:25;1,2,3,4,5;;;;2017-05-02 09:00:00
;Zona Sul;Botafogo;;Predio Corpus Rua Dona Mariana;Via Santa Barbara ;;CCS;;Contribuição: 3,50.Para chegar às 8h na Fundão ( qualquer ponto) e aos sábados para o prédio de letras (Clac);2016-08-28 22:59:47;2017-04-19 11:59:25;1,2,3,4,5,6;;;;2016-09-12 08:00:00
;Baixada;Mesquita;;53 DP;Posto 13/ Marques Rollo/ Centro de Mesquita;;CT;;"Contribuição de R$ 5,00
Só pra ajudar na gasosa ;)";2016-04-11 16:29:47;2017-04-19 11:59:25;2;;;;2016-04-26 13:00:00
;Zona Norte;Tijuca;;Praça Afonso Pena;;;CT;;Contribuição de 2 reais;2019-04-17 09:32:07;2019-04-17 09:32:07;;;;;2019-04-17 11:00:00
;Zona Sul;Laranjeiras;;Gago coutinho;R Das Laranjeiras- St Barbara;;CT: Bloco H;;"$$3 dilmas$$
Saio 7:40 da gago coutinho. Chego no fundao por volta de 8:05";2016-05-16 10:41:23;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-06-28 08:00:00
;Zona Sul;Copacabana;;Rua República do Peru;Linha vermelha/ Rebouças/Humaita /Túnel Velho;;Reitoria;;;2016-09-11 19:17:08;2017-04-19 11:59:25;1,2,4;;;2016-10-03 17:29:26;2016-10-10 09:30:00
;Baixada;São João de Meriti;;Noobs, posto forza, centro do vilar;Dutra, Linha vermelha;;CT: Bloco D;;;2016-04-11 20:40:22;2017-04-19 11:59:25;2,4;;;;2016-06-23 08:00:00
;Zona Sul;Laranjeiras;;Pinheiro Machado;;;CT: Bloco A;;;2016-06-03 16:09:09;2017-04-19 11:59:25;5;;;;2016-07-15 16:30:00
;Zona Sul;Botafogo;;;;;CCMN: Frente;;;2016-04-10 21:31:01;2017-04-19 11:59:25;1;;;2016-04-10 21:33:20;2016-06-20 13:00:00
;Zona Sul;Copacabana;;Estação Cantagalo ;Lagoa, Rebouças;;CCS;;;2016-04-09 19:58:29;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-05-10 18:00:00
;Zona Norte;Pavuna;;lojas americanas pavuna, busco prox ao Colégio Mercúrio;linha vermelha ou av.brasil e linha vermelha;;CT;;Levo para o ccmn ou ccs;2016-06-08 15:24:29;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-06-28 08:00:00
;Zona Sul;Flamengo;;;Praça São Salvador > Pinheiro Machado > Túnel Santa Bárbara;;CT;;;2017-03-21 22:20:19;2017-04-19 11:59:25;3;;;;2017-05-17 08:00:00
;Zona Norte;Tauá;;Rua Érico Coelho;Estrada do Dendê, Estrada das Canárias;;CCMN;;Solicito contribuição de R$ 3,00 para gasolina.;2017-10-30 16:09:32;2017-10-30 16:09:32;1,2,3,5;;;;2017-12-13 10:00:00
;Zona Norte;Maracanã;;UERJ, Maracanã;São Francisco, Haddock Lobo, Paulo De Frontin, Leopoldina;;CT;;;2016-04-09 19:32:29;2017-04-19 11:59:25;2,3,4;;;2016-04-09 19:45:21;2016-06-01 08:00:00
;Zona Sul;Botafogo;;Rua da Passagem, 39;Linha Vermelha;;CCMN;;Pela Linha Vermelha e Rebouças;2019-06-07 11:18:55;2019-06-07 11:20:27;1,2,3,4,5;2019-08-10;;2019-06-07 11:20:27;2019-06-25 07:30:00
;Zona Oeste;Camorim;;Glaxo Smith Kline;Abelardo Bueno, Rio 2, Parque Olímpico;;CCMN: Frente;;Carona no valor de $3,00 :)  #vamosajudar;2017-03-14 11:46:34;2017-04-19 11:59:25;2;;;;2017-05-09 21:30:00
;Zona Norte;Tijuca;;Largo da Segunda Feira;Linha Vermelha, Leopoldina, Rua Paulo De Frontin, Rua Barão De Itapagipe, Rua Félix Da Cunha;;CCMN: Frente;;;2016-04-10 01:20:50;2017-04-19 11:59:25;2,4;;;2016-04-10 01:22:01;2016-05-03 17:00:00
;Centro;Rio Comprido;;Esquina da Barão de Itapagipe;Paulo de Frontin - Leopoldina - Av. Brasil - Linha Vermelha;;Reitoria;;"Contribuição pra gasolina: R$4,00!
✌🏼🤓


Falar no WhatsApp:
(21) 9 9573 8616";2017-10-06 14:28:19;2017-10-06 14:28:19;5;;;;2017-10-20 09:00:00
